2026-01-03 08:57:50,886 | INFO | src.screener.excel_screener | SIEMENS: Processing 60 bars
2026-01-03 08:57:50,891 | INFO | src.screener.excel_screener | ABB: Processing 59 bars
2026-01-03 08:57:50,900 | INFO | src.screener.excel_screener | BHEL: Processing 60 bars
2026-01-03 08:57:50,907 | INFO | src.screener.excel_screener | CUMMINSIND: Processing 60 bars
2026-01-03 08:57:50,916 | INFO | src.screener.excel_screener | APOLLOHOSP: Processing 60 bars
2026-01-03 08:57:50,923 | INFO | src.screener.excel_screener | MAXHEALTH: Processing 60 bars
2026-01-03 08:57:50,932 | INFO | src.screener.excel_screener | NH: Processing 60 bars
2026-01-03 08:57:50,938 | INFO | src.screener.excel_screener | FORTIS: Processing 60 bars
2026-01-03 08:57:50,943 | INFO | src.screener.excel_screener | MEDANTA: Processing 59 bars
2026-01-03 08:57:50,952 | INFO | src.screener.excel_screener | DLF: Processing 60 bars
2026-01-03 08:57:50,959 | INFO | src.screener.excel_screener | GODREJPROP: Processing 60 bars
2026-01-03 08:57:50,967 | INFO | src.screener.excel_screener | OBEROIRLTY: Processing 59 bars
2026-01-03 08:57:50,974 | INFO | src.screener.excel_screener | PRESTIGE: Processing 60 bars
2026-01-03 08:57:50,982 | INFO | src.screener.excel_screener | BRIGADE: Processing 60 bars
2026-01-03 08:57:50,988 | INFO | src.screener.excel_screener | TITAN: Processing 60 bars
2026-01-03 08:57:50,997 | INFO | src.screener.excel_screener | HAVELLS: Processing 60 bars
2026-01-03 08:57:51,005 | INFO | src.screener.excel_screener | VOLTAS: Processing 60 bars
2026-01-03 08:57:51,014 | INFO | src.screener.excel_screener | BLUESTARCO: Processing 59 bars
2026-01-03 08:57:51,021 | INFO | src.screener.excel_screener | CROMPTON: Processing 60 bars
2026-01-03 08:57:51,027 | INFO | src.screener.excel_screener | PAGEIND: Processing 58 bars
2026-01-03 08:57:51,035 | INFO | src.screener.excel_screener | ABFRL: Processing 60 bars
2026-01-03 08:57:51,041 | INFO | src.screener.excel_screener | RAYMOND: Processing 60 bars
2026-01-03 08:57:51,048 | INFO | src.screener.excel_screener | GRASIM: Processing 60 bars
2026-01-03 08:57:51,057 | INFO | src.screener.excel_screener | TRIDENT: Processing 60 bars
2026-01-03 08:57:51,065 | INFO | src.screener.excel_screener | ZEEL: Processing 60 bars
2026-01-03 08:57:51,073 | INFO | src.screener.excel_screener | PVRINOX: Processing 58 bars
2026-01-03 08:57:51,082 | INFO | src.screener.excel_screener | SUNTV: Processing 59 bars
2026-01-03 08:57:51,089 | INFO | src.screener.excel_screener | SAREGAMA: Processing 59 bars
2026-01-03 08:57:51,096 | INFO | src.screener.excel_screener | MAHLOG: Processing 59 bars
2026-01-03 08:57:51,102 | INFO | src.screener.excel_screener | BLUEDART: Processing 58 bars
2026-01-03 08:57:51,109 | INFO | src.screener.excel_screener | VRLLOG: Processing 59 bars
2026-01-03 08:57:51,117 | INFO | src.screener.excel_screener | TCIEXP: Processing 60 bars
2026-01-03 08:57:51,124 | INFO | src.screener.excel_screener | CONCOR: Processing 60 bars
2026-01-03 08:57:51,132 | INFO | src.screener.excel_screener | DMART: Processing 60 bars
2026-01-03 08:57:51,139 | INFO | src.screener.excel_screener | TRENT: Processing 60 bars
2026-01-03 08:57:51,147 | INFO | src.screener.excel_screener | VMART: Processing 59 bars
2026-01-03 08:57:51,153 | INFO | src.screener.excel_screener | SHOPERSTOP: Processing 59 bars
2026-01-03 08:57:51,160 | INFO | src.screener.excel_screener | RELAXO: Processing 59 bars
2026-01-03 08:57:51,166 | INFO | src.screener.excel_screener | HAL: Processing 60 bars
2026-01-03 08:57:51,172 | INFO | src.screener.excel_screener | BEL: Processing 60 bars
2026-01-03 08:57:51,180 | INFO | src.screener.excel_screener | BDL: Processing 60 bars
2026-01-03 08:57:51,188 | INFO | src.screener.excel_screener | MAZDOCK: Processing 60 bars
2026-01-03 08:57:51,198 | INFO | src.screener.excel_screener | SOLARINDS: Processing 60 bars
2026-01-03 08:57:51,205 | INFO | src.screener.excel_screener | SHRIRAMFIN: Processing 60 bars
2026-01-03 08:57:51,214 | INFO | src.screener.excel_screener | TATACONSUM: Processing 60 bars
2026-01-03 08:57:51,220 | INFO | src.screener.excel_screener | 
📊 REJECTION STATISTICS:
2026-01-03 08:57:51,220 | INFO | src.screener.excel_screener |    Total Processed: 100
2026-01-03 08:57:51,221 | INFO | src.screener.excel_screener |    Passed: 26
2026-01-03 08:57:51,221 | INFO | src.screener.excel_screener |    Rejected: 74
2026-01-03 08:57:51,221 | INFO | src.screener.excel_screener | 
   Top Rejection Reasons:
2026-01-03 08:57:51,221 | INFO | src.screener.excel_screener | Metrics calculated: 100, Passed: 26, Rejected: 74, Insufficient bars: 0, Missing data: 0
2026-01-03 08:57:51,223 | INFO | src.screener.excel_screener | Max trades (adjusted for BULLISH): 8
2026-01-03 08:57:51,223 | INFO | src.screener.excel_screener | 
============================================================
2026-01-03 08:57:51,223 | INFO | src.screener.excel_screener | TOP PICKS:
2026-01-03 08:57:51,224 | INFO | src.screener.excel_screener | ============================================================
2026-01-03 08:57:51,224 | INFO | src.screener.excel_screener | INDUSTOWER | Score:  47.37 | Price: Rs. 442.05 | BULLISH_TREND,HIGH_VOLUME,STRONG_TREND
2026-01-03 08:57:51,225 | INFO | src.screener.excel_screener | HINDALCO   | Score:  42.61 | Price: Rs. 925.70 | BULLISH_TREND,HIGH_VOLUME,STRONG_TREND
2026-01-03 08:57:51,225 | INFO | src.screener.excel_screener | COALINDIA  | Score:  39.61 | Price: Rs. 427.90 | BULLISH_TREND,HIGH_VOLUME,STRONG_TREND
2026-01-03 08:57:51,225 | INFO | src.screener.excel_screener | BLUEDART   | Score:  34.99 | Price: Rs.5593.50 | NEAR_EMA20,HIGH_VOLUME
2026-01-03 08:57:51,225 | INFO | src.screener.excel_screener | UPL        | Score:  34.61 | Price: Rs. 804.65 | BULLISH_TREND
2026-01-03 08:57:52,990 | INFO | src.screener.excel_screener | Written 8 results to Excel: SCREENER_OUTPUT
2026-01-03 08:57:53,629 | INFO | src.screener.excel_screener | ============================================================
2026-01-03 08:57:53,630 | INFO | src.screener.excel_screener | SCREENER COMPLETE
2026-01-03 08:57:53,630 | INFO | src.screener.excel_screener | ============================================================
2026-01-03 08:57:53,653 | WARNING | src.core.engine | DUPLICATE PREVENTED: HINDALCO has pending order | order_id: ORD_HINDALCO_1767147605717 | qty: 2
2026-01-03 08:57:53,658 | INFO | src.core.engine | COALINDIA: Adaptive strategy not enabled, using defaults
2026-01-03 08:57:53,659 | INFO | src.core.engine | COALINDIA: Reserving capital for proposed order - Value: Rs.1,711.60
2026-01-03 08:57:53,659 | INFO | src.core.engine | COALINDIA: Reserved capital for proposed order - Value: Rs.1,711.60
2026-01-03 08:57:53,659 | ERROR | src.core.engine | Error processing signal for COALINDIA: cannot access local variable 'governor_result' where it is not associated with a value releasing capital reservation Rs.1,711.60
2026-01-03 08:57:53,663 | INFO | src.core.engine | INDUSTOWER: Adaptive strategy not enabled, using defaults
2026-01-03 08:57:53,665 | INFO | src.core.engine | INDUSTOWER: Reserving capital for proposed order - Value: Rs.884.10
2026-01-03 08:57:53,665 | INFO | src.core.engine | INDUSTOWER: Reserved capital for proposed order - Value: Rs.884.10
2026-01-03 08:57:53,666 | ERROR | src.core.engine | Error processing signal for INDUSTOWER: cannot access local variable 'governor_result' where it is not associated with a value releasing capital reservation Rs.884.10
2026-01-03 08:57:53,668 | INFO | src.core.engine | UPL: Adaptive strategy not enabled, using defaults
2026-01-03 08:57:53,669 | INFO | src.core.engine | UPL: Reserving capital for proposed order - Value: Rs.1,609.30
2026-01-03 08:57:53,669 | INFO | src.core.engine | UPL: Reserved capital for proposed order - Value: Rs.1,609.30
2026-01-03 08:57:53,669 | ERROR | src.core.engine | Error processing signal for UPL: cannot access local variable 'governor_result' where it is not associated with a value releasing capital reservation Rs.1,609.30
2026-01-03 08:57:53,671 | INFO | src.core.engine | SRF: Adaptive strategy not enabled, using defaults
2026-01-03 08:57:53,671 | INFO | src.core.engine | SRF: Reserving capital for proposed order - Value: Rs.3,059.50
2026-01-03 08:57:53,672 | INFO | src.core.engine | SRF: Reserved capital for proposed order - Value: Rs.3,059.50
2026-01-03 08:57:53,672 | ERROR | src.core.engine | Error processing signal for SRF: cannot access local variable 'governor_result' where it is not associated with a value releasing capital reservation Rs.3,059.50
2026-01-03 08:57:53,675 | INFO | src.core.engine | CUMMINSIND: Adaptive strategy not enabled, using defaults
2026-01-03 08:57:53,675 | INFO | src.core.engine | CUMMINSIND: Reserving capital for proposed order - Value: Rs.4,482.10
2026-01-03 08:57:53,676 | ERROR | src.core.engine | Error processing signal for CUMMINSIND: Insufficient capital. Need Rs.4482.10, have Rs.4250.00 releasing capital reservation Rs.4,482.10
2026-01-03 08:57:53,678 | INFO | src.core.engine | SAREGAMA: Adaptive strategy not enabled, using defaults
2026-01-03 08:57:53,678 | INFO | src.core.engine | SAREGAMA: Reserving capital for proposed order - Value: Rs.715.90
2026-01-03 08:57:53,678 | INFO | src.core.engine | SAREGAMA: Reserved capital for proposed order - Value: Rs.715.90
2026-01-03 08:57:53,678 | ERROR | src.core.engine | Error processing signal for SAREGAMA: cannot access local variable 'governor_result' where it is not associated with a value releasing capital reservation Rs.715.90
2026-01-03 08:57:53,680 | INFO | src.core.engine | BLUEDART: Adaptive strategy not enabled, using defaults
2026-01-03 08:57:53,681 | INFO | src.core.engine | BLUEDART: Reserving capital for proposed order - Value: Rs.5,593.50
2026-01-03 08:57:53,682 | ERROR | src.core.engine | Error processing signal for BLUEDART: Insufficient capital. Need Rs.5593.50, have Rs.4250.00 releasing capital reservation Rs.5,593.50
2026-01-03 09:04:11,576 | INFO | config.enhanced_config_manager | Timing config loaded: enabled=False
2026-01-03 09:04:11,578 | INFO | src.core.risk_manager | Risk Manager initialized with comprehensive risk controls
2026-01-03 09:04:11,578 | INFO | src.screener.excel_screener | Excel screener initialized: MiniRobo.xlsx
2026-01-03 09:04:13,250 | INFO | src.screener.excel_screener | Loaded 100 enabled stocks from universe
2026-01-03 09:04:13,824 | INFO | src.core.warmup_manager | WarmupManager initialized for 10 symbols with 60 days lookback
2026-01-03 09:04:13,824 | INFO | src.core.warmup_manager | 🔥 Starting system warmup sequence...
2026-01-03 09:04:13,824 | INFO | src.core.warmup_manager |   🔄 Executing: load_market_data
2026-01-03 09:04:14,804 | ERROR | yfinance | $HDFCBANK: possibly delisted; no timezone found
2026-01-03 09:04:14,805 | WARNING | src.core.warmup_manager | Insufficient data for HDFCBANK: 0 days
2026-01-03 09:04:15,542 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ICICIBANK"}}}
2026-01-03 09:04:15,740 | ERROR | yfinance | $ICICIBANK: possibly delisted; no timezone found
2026-01-03 09:04:15,740 | WARNING | src.core.warmup_manager | Insufficient data for ICICIBANK: 0 days
2026-01-03 09:04:16,126 | ERROR | yfinance | $KOTAKBANK: possibly delisted; no timezone found
2026-01-03 09:04:16,127 | WARNING | src.core.warmup_manager | Insufficient data for KOTAKBANK: 0 days
